object_id,X,Y
10112,1178996.5812312982,1876167.9600684713
10125,1173138.6479107593,1835779.0045505874
10135,1148520.349011974,1900664.418085121
10136,1168714.5057012427,1861156.7202063843
10138,1156739.1765783972,1869314.2680641485
10143,1164526.6687950161,1881758.8365252195
10147,1165690.184932587,1939052.0556416684
10148,1176001.9683798964,1832169.9082849903
10149,1160227.7911927523,1939503.3847002368
10151,1169264.723402809,1880823.5108527169
10170,1175179.1976159413,1903864.827529158
10175,1171326.7849546862,1881242.560815452
10622,1161972.71457,1869647.08735
10625,1174530.3193847765,1869475.4248192336
10644,1186206.4652707586,1843446.3561970955
10740,1174773.156986165,1865196.5142905703
10753,1161751.690515,1869729.9143670592
10774,1177317.8970847088,1860057.1617958308
10775,1167576.7126962922,1866324.3104195455
10805,1147822.6053032482,1893316.7584433455
10809,1147255.8250126822,1898363.149998098
10816,1163468.0546729008,1945170.5918641211
10833,1164643.3279006283,1928186.5231202368
10852,1148684.5628341439,1897254.9899914232
10853,1168338.7738692504,1872747.5154059168
10894,1171705.0792040278,1917213.880703369
11300,1137990.082168688,1930973.762387407
11301,1137070.2423228808,1926630.5233500644
11302,1159242.1015352418,1934794.9657018154
11303,1156564.7511203839,1910581.9866476161
11304,1165942.9099616222,1917476.211592276
11305,1139400.1494923346,1912581.0626249937
11306,1189282.6746666662,1838368.6002566665
11307,1153642.0039151756,1896248.3663359676
11308,1155452.6174759592,1939292.6214427792
11309,1168372.6553764516,1860885.1939074744
11310,1152083.1898141059,1859752.9108045264
11311,1186357.0802483945,1839630.7119017772
11312,1195899.89542695,1845499.400273212
11313,1170701.5068725056,1837147.9510815584
11315,1126489.5191874602,1936956.2605151196
11316,1140725.9506772452,1917036.347560015
11317,1185414.6252475146,1825741.3234342353
11318,1164982.767694916,1911747.7564235185
11319,1163495.4253526616,1911279.1299476835
11320,1161603.3183407097,1883225.870096976
11321,1154990.7611764804,1854137.9238745468
11322,1153217.696586034,1862450.2322460294
11323,1156956.9976550974,1896856.9795334665
11324,1163657.3700302867,1914920.0671766002
11325,1170434.6007326862,1896452.0587210471
11326,1172793.6575391358,1870031.020556502
11327,1170467.116998841,1839936.9323868367
11328,1170793.6827734876,1883096.442900361
11329,1148234.0409083837,1914165.5626987303
11330,1147659.4697114099,1902274.5734532229
11331,1176103.9976998235,1869942.0368173274
11332,1167886.25595,1911950.806165
11333,1164519.860794805,1941811.6606292804
11334,1175640.3749950428,1884560.329022133
11335,1130960.861740685,1935804.2379668965
11336,1132254.9325868108,1938036.0069687678
11337,1163677.9622001846,1937819.7339023855
11338,1161383.4480177409,1942856.6633174866
11339,1171967.8945330163,1884732.926813865
11340,1167939.9708839683,1908985.336780564
11341,1148761.7810337534,1914774.4736173153
11342,1140183.5146834417,1915296.8648305736
11343,1174364.9770350056,1883168.5952761692
11344,1165736.6064564695,1898107.8375007273
11345,1168631.0629265232,1895594.7471272
11346,1176291.6402731864,1861808.7604597078
11347,1180344.576215712,1869572.0038525225
11348,1160550.702614554,1868590.0336133917
